DATE,ORG_CODE,GRADE_SORT_ORDER,GRADE,SPECIALITY_GROUP,SPECIALTY,FTE
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,33.3
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,2
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,0.5
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,8
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,6.6
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,4.2
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,5
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,6
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Genito-urinary medicine,1
30/09/2017,RBA,5,Specialty Registrar,Dental group,Orthodontics,1
30/09/2017,RBA,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,5
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Acute Internal Medicine,2
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Cardiology,1.60625
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Gastroenterology,2.88625
30/09/2017,RBA,5,Specialty Registrar,General medicine group,General (internal) medicine,1
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Geriatric medicine,4
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Neurology,1
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Palliative medicine,1
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Respiratory medicine,4
30/09/2017,RBA,5,Specialty Registrar,General medicine group,Rheumatology,1
30/09/2017,RBA,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,9
30/09/2017,RBA,5,Specialty Registrar,Paediatric group,Paediatrics,12.21875
30/09/2017,RBA,5,Specialty Registrar,Pathology group,Haematology,2
30/09/2017,RBA,5,Specialty Registrar,Pathology group,Histopathology,2
30/09/2017,RBA,5,Specialty Registrar,Surgical group,General surgery,7.67875
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,4
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Neurology,3
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Other,7.3
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Palliative medicine,2.1625
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Rehabilitation medicine,3
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Renal medicine,4
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,6.6
30/09/2017,RNA,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,7.725
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,9
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,8.7
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Pathology group,Chemical pathology,1
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Pathology group,Haematology,6
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,2
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Pathology group,Immunology,2
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,1
30/09/2017,RXN,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,0.2
30/09/2017,RXN,10,Other and Local HCHS Doctor Grades,Dental group,Special Care Dentistry,1.36
30/09/2017,RXN,10,Other and Local HCHS Doctor Grades,General medicine group,General Med Practitioner,0.1
30/09/2017,RXN,10,Other and Local HCHS Doctor Grades,Obstetrics & gynaecology,Obstetrics and Gynaecology,0.3
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,44.55
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,6
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Dental group,Oral Surgery,0.4
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,2.775
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,7.6
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Acute Internal Medicine,6
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,7
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,4.875
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,6
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,10.2
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,General (internal) medicine,6.7
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,14.75
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,General surgery,11
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,8
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,4
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,Plastic surgery,3.95
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,9
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,Urology,6
30/09/2017,RNA,1,Consultant (including Directors of Public Health),Surgical group,Vascular Surgery,5
30/09/2017,RNA,2,Associate Specialist,Emergency Medicine,Emergency Medicine,2
30/09/2017,RNA,2,Associate Specialist,General medicine group,Genito-urinary medicine,1.09091
30/09/2017,RNA,2,Associate Specialist,Paediatric group,Paediatrics,1.4
30/09/2017,RNA,2,Associate Specialist,Pathology group,Chemical pathology,1
30/09/2017,RNA,2,Associate Specialist,Pathology group,Histopathology,0.4
30/09/2017,RNA,2,Associate Specialist,Surgical group,General surgery,1
30/09/2017,RNA,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RNA,3,Specialty Doctor,Anaesthetics,Anaesthetics,3
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,6
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Medical oncology,2.9
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Palliative medicine,2.95
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,5
30/09/2017,RXR,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,4.8
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,17.8
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,29.725
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Pathology group,Haematology,2
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,10.1
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,3.45
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Psychiatry group,Child and adolescent psychiatry,5
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,20
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Surgical group,General surgery,15
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,8
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,4
30/09/2017,RBA,5,Specialty Registrar,Surgical group,Ophthalmology,4
30/09/2017,RBA,5,Specialty Registrar,Surgical group,Otolaryngology,1
30/09/2017,RBA,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,8
30/09/2017,RBA,5,Specialty Registrar,Surgical group,Urology,1
30/09/2017,RBA,5,Specialty Registrar,Surgical group,Vascular Surgery,3
30/09/2017,RBA,6,Core Training,Anaesthetics,Anaesthetics,7
30/09/2017,RBA,6,Core Training,Dental group,Oral and maxillo-facial surgery,4
30/09/2017,RBA,6,Core Training,Dental group,Orthodontics,1
30/09/2017,RBA,6,Core Training,Emergency Medicine,Emergency Medicine,1
30/09/2017,RBA,6,Core Training,General medicine group,Acute Internal Medicine,6
30/09/2017,RBA,6,Core Training,General medicine group,Cardiology,1
30/09/2017,RBA,6,Core Training,General medicine group,Gastroenterology,1
30/09/2017,RBA,6,Core Training,General medicine group,Geriatric medicine,1
30/09/2017,RBA,6,Core Training,General medicine group,Neurology,1
30/09/2017,RBA,6,Core Training,General medicine group,Respiratory medicine,2
30/09/2017,RBA,6,Core Training,Pathology group,Haematology,1
30/09/2017,RBA,6,Core Training,Surgical group,General surgery,5
30/09/2017,RBA,6,Core Training,Surgical group,Otolaryngology,1
30/09/2017,RBA,6,Core Training,Surgical group,Urology,2
30/09/2017,RBA,6,Core Training,Surgical group,Vascular Surgery,1
30/09/2017,RBA,7,Foundation Doctor Year 2,Anaesthetics,Anaesthetics,1
30/09/2017,RBA,7,Foundation Doctor Year 2,Clinical oncology,Clinical oncology,1
30/09/2017,RBA,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,2
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,Acute Internal Medicine,1
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,Cardiology,3
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,Gastroenterology,1
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,6
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,3
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,Rehabilitation medicine,1
30/09/2017,RBA,7,Foundation Doctor Year 2,General medicine group,Respiratory medicine,1
30/09/2017,RBA,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,1
30/09/2017,RBA,7,Foundation Doctor Year 2,Surgical group,Otolaryngology,2
30/09/2017,RBA,7,Foundation Doctor Year 2,Surgical group,Trauma and orthopaedic surgery,8
30/09/2017,RBA,7,Foundation Doctor Year 2,Surgical group,Vascular Surgery,1
30/09/2017,RBA,8,Foundation Doctor Year 1,Anaesthetics,Anaesthetics,1
30/09/2017,RNA,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,2
30/09/2017,RNA,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,9.53
30/09/2017,RNA,3,Specialty Doctor,General medicine group,Cardiology,1
30/09/2017,RNA,3,Specialty Doctor,General medicine group,Dermatology,0.875
30/09/2017,RNA,3,Specialty Doctor,General medicine group,Genito-urinary medicine,1
30/09/2017,RNA,3,Specialty Doctor,General medicine group,Medical oncology,1
30/09/2017,RNA,3,Specialty Doctor,General medicine group,Rheumatology,0.3
30/09/2017,RNA,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,5.7
30/09/2017,RNA,3,Specialty Doctor,Paediatric group,Paediatrics,2.7
30/09/2017,RNA,3,Specialty Doctor,Pathology group,Chemical pathology,0.7
30/09/2017,RNA,3,Specialty Doctor,Pathology group,Haematology,1
30/09/2017,RNA,3,Specialty Doctor,Surgical group,Ophthalmology,1.9
30/09/2017,RNA,3,Specialty Doctor,Surgical group,Otolaryngology,1.475
30/09/2017,RNA,3,Specialty Doctor,Surgical group,Plastic surgery,1
30/09/2017,RNA,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,5
30/09/2017,RNA,4,Staff Grade,Anaesthetics,Anaesthetics,0.375
30/09/2017,RNA,4,Staff Grade,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RNA,4,Staff Grade,Surgical group,Ophthalmology,1
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,21
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Surgical group,Urology,8
30/09/2017,RXR,1,Consultant (including Directors of Public Health),Surgical group,Vascular Surgery,5
30/09/2017,RXR,2,Associate Specialist,Anaesthetics,Anaesthetics,4
30/09/2017,RXR,2,Associate Specialist,Dental group,Oral Surgery,2
30/09/2017,RXR,2,Associate Specialist,Paediatric group,Paediatrics,1.5
30/09/2017,RXR,2,Associate Specialist,Surgical group,General surgery,1
30/09/2017,RXR,2,Associate Specialist,Surgical group,Ophthalmology,1
30/09/2017,RXR,2,Associate Specialist,Surgical group,Otolaryngology,1
30/09/2017,RXR,3,Specialty Doctor,Anaesthetics,Anaesthetics,11
30/09/2017,RXR,3,Specialty Doctor,Clinical oncology,Clinical oncology,2
30/09/2017,RXR,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,0.3
30/09/2017,RXR,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,7
30/09/2017,RXR,3,Specialty Doctor,General medicine group,Acute Internal Medicine,3.75
30/09/2017,RXR,3,Specialty Doctor,General medicine group,Cardiology,3
30/09/2017,RXR,3,Specialty Doctor,General medicine group,Dermatology,0.15
30/09/2017,RXR,3,Specialty Doctor,General medicine group,Gastroenterology,0.2
30/09/2017,RXR,3,Specialty Doctor,General medicine group,General (internal) medicine,2
30/09/2017,RNA,4,Staff Grade,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RNA,5,Specialty Registrar,Anaesthetics,Anaesthetics,6.7
30/09/2017,RNA,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,1
30/09/2017,RNA,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,8.8
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Acute Internal Medicine,1
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Cardiology,5.3
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Dermatology,2
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Gastroenterology,4
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Geriatric medicine,7.5
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Other,6
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Rehabilitation medicine,6
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Renal medicine,4.6
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Respiratory medicine,6.6
30/09/2017,RNA,5,Specialty Registrar,General medicine group,Rheumatology,4
30/09/2017,RNA,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,8.4
30/09/2017,RNA,5,Specialty Registrar,Paediatric group,Paediatrics,17.55
30/09/2017,RBA,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,1
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Acute Internal Medicine,9
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Cardiology,1
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Gastroenterology,2
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Geriatric medicine,1
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Neurology,2
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Rehabilitation medicine,2
30/09/2017,RBA,8,Foundation Doctor Year 1,General medicine group,Respiratory medicine,2
30/09/2017,RBA,8,Foundation Doctor Year 1,Psychiatry group,General psychiatry,2
30/09/2017,RBA,8,Foundation Doctor Year 1,Surgical group,General surgery,4
30/09/2017,RBA,8,Foundation Doctor Year 1,Surgical group,Urology,2
30/09/2017,RBA,8,Foundation Doctor Year 1,Surgical group,Vascular Surgery,3
30/09/2017,RBA,9,Hospital Practitioner / Clinical Assistant,Dental group,Oral and maxillo-facial surgery,0.09091
30/09/2017,RBA,9,Hospital Practitioner / Clinical Assistant,Emergency Medicine,Emergency Medicine,0.31818
30/09/2017,RBA,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,6.23466
30/09/2017,RXR,3,Specialty Doctor,General medicine group,Respiratory medicine,1
30/09/2017,RXR,3,Specialty Doctor,General medicine group,Rheumatology,0.825
30/09/2017,RXR,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,2.1
30/09/2017,RXR,3,Specialty Doctor,Paediatric group,Paediatrics,8.2
30/09/2017,RXR,3,Specialty Doctor,Pathology group,Haematology,1
30/09/2017,RXR,3,Specialty Doctor,Psychiatry group,Child and adolescent psychiatry,2
30/09/2017,RXR,3,Specialty Doctor,Radiology group,Clinical radiology,1
30/09/2017,RXR,3,Specialty Doctor,Surgical group,Ophthalmology,1.6
30/09/2017,RXR,3,Specialty Doctor,Surgical group,Otolaryngology,3
30/09/2017,RXR,3,Specialty Doctor,Surgical group,Urology,1
30/09/2017,RXR,3,Specialty Doctor,Surgical group,Vascular Surgery,1
30/09/2017,RXR,4,Staff Grade,Surgical group,General surgery,1
30/09/2017,RXR,4,Staff Grade,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RXR,5,Specialty Registrar,Anaesthetics,Anaesthetics,12.63125
30/09/2017,RXR,5,Specialty Registrar,Anaesthetics,Intensive care medicine,2
30/09/2017,RXR,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,2
30/09/2017,RXR,5,Specialty Registrar,Dental group,Special Care Dentistry,1
30/09/2017,RXR,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,10.4
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,17.1175
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Clinical oncology,Clinical oncology,1.65
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Dental group,Oral Surgery,1.1
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,4.1
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Clinical neurophysiology,0.05
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,1.15
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,General (internal) medicine,12.55
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Genito-urinary medicine,3.7
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,0.25
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Neurology,0.2
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Palliative medicine,0.8
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Renal medicine,0.175
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,2
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Community Sexual and Reproductive Health,1
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,6.046
30/09/2017,RNA,5,Specialty Registrar,Pathology group,Chemical pathology,0.4
30/09/2017,RNA,5,Specialty Registrar,Pathology group,Haematology,1.8
30/09/2017,RNA,5,Specialty Registrar,Radiology group,Clinical radiology,3
30/09/2017,RNA,5,Specialty Registrar,Surgical group,General surgery,14
30/09/2017,RNA,5,Specialty Registrar,Surgical group,Ophthalmology,3.6
30/09/2017,RNA,5,Specialty Registrar,Surgical group,Otolaryngology,2.8
30/09/2017,RNA,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RNA,5,Specialty Registrar,Surgical group,Urology,2
30/09/2017,RNA,5,Specialty Registrar,Surgical group,Vascular Surgery,1
30/09/2017,RNA,6,Core Training,Anaesthetics,Anaesthetics,13
30/09/2017,RNA,6,Core Training,Dental group,Oral and maxillo-facial surgery,4
30/09/2017,RNA,6,Core Training,Emergency Medicine,Emergency Medicine,5
30/09/2017,RNA,6,Core Training,General medicine group,Cardiology,1
30/09/2017,RNA,6,Core Training,General medicine group,Dermatology,1
30/09/2017,RNA,6,Core Training,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RNA,6,Core Training,General medicine group,Gastroenterology,2
30/09/2017,RNA,6,Core Training,General medicine group,General (internal) medicine,5
30/09/2017,RNA,6,Core Training,General medicine group,Other,8
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,9.59
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Pathology group,Haematology,1.625
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,4
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,2.55
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,6.24
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Surgical group,General surgery,8.7
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,5
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,0.1
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Surgical group,Plastic surgery,0.2
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,8
30/09/2017,RBZ,1,Consultant (including Directors of Public Health),Surgical group,Urology,3
30/09/2017,RBZ,2,Associate Specialist,Anaesthetics,Anaesthetics,2.225
30/09/2017,RBZ,2,Associate Specialist,General medicine group,Dermatology,0.43636
30/09/2017,RBZ,2,Associate Specialist,General medicine group,General (internal) medicine,2.7
30/09/2017,RBZ,2,Associate Specialist,General medicine group,Genito-urinary medicine,0.6
30/09/2017,RBZ,2,Associate Specialist,General medicine group,Geriatric medicine,0.8
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Cardiology,2
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Dermatology,2
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Gastroenterology,4
30/09/2017,RXR,5,Specialty Registrar,General medicine group,General (internal) medicine,5.3
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Geriatric medicine,7.6
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Respiratory medicine,3
30/09/2017,RXR,5,Specialty Registrar,General medicine group,Rheumatology,1
30/09/2017,RXR,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,25.6
30/09/2017,RXR,5,Specialty Registrar,Paediatric group,Paediatrics,27
30/09/2017,RXR,5,Specialty Registrar,Pathology group,Histopathology,5
30/09/2017,RXR,5,Specialty Registrar,Radiology group,Clinical radiology,5
30/09/2017,RXR,5,Specialty Registrar,Surgical group,General surgery,14.7
30/09/2017,RXR,5,Specialty Registrar,Surgical group,Ophthalmology,2
30/09/2017,RXR,5,Specialty Registrar,Surgical group,Otolaryngology,2
30/09/2017,RXR,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,12
30/09/2017,RXR,5,Specialty Registrar,Surgical group,Urology,3
30/09/2017,RXR,6,Core Training,Anaesthetics,Anaesthetics,18
30/09/2017,RBZ,2,Associate Specialist,General medicine group,Palliative medicine,0.2
30/09/2017,RBZ,2,Associate Specialist,Obstetrics & gynaecology,Community Sexual and Reproductive Health,1.45
30/09/2017,RBZ,2,Associate Specialist,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RBZ,2,Associate Specialist,Surgical group,Ophthalmology,1
30/09/2017,RBZ,2,Associate Specialist,Surgical group,Otolaryngology,1
30/09/2017,RBZ,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,6.4
30/09/2017,RBZ,3,Specialty Doctor,Anaesthetics,Anaesthetics,6.664
30/09/2017,RBZ,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,4.55
30/09/2017,RBZ,3,Specialty Doctor,General medicine group,General (internal) medicine,1
30/09/2017,RBZ,3,Specialty Doctor,General medicine group,Genito-urinary medicine,1.4
30/09/2017,RBZ,3,Specialty Doctor,Obstetrics & gynaecology,Community Sexual and Reproductive Health,0.586
30/09/2017,RBZ,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,4
30/09/2017,RBZ,3,Specialty Doctor,Paediatric group,Paediatrics,2.925
30/09/2017,RBZ,3,Specialty Doctor,Pathology group,Haematology,1
30/09/2017,RBZ,3,Specialty Doctor,Surgical group,General surgery,3
30/09/2017,RBZ,3,Specialty Doctor,Surgical group,Ophthalmology,3.6
30/09/2017,RBZ,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RBZ,3,Specialty Doctor,Surgical group,Urology,1
30/09/2017,RNA,6,Core Training,General medicine group,Rehabilitation medicine,1
30/09/2017,RNA,6,Core Training,General medicine group,Respiratory medicine,1
30/09/2017,RNA,6,Core Training,General medicine group,Rheumatology,1
30/09/2017,RNA,6,Core Training,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RNA,6,Core Training,Surgical group,General surgery,3
30/09/2017,RNA,6,Core Training,Surgical group,Otolaryngology,3
30/09/2017,RNA,6,Core Training,Surgical group,Plastic surgery,1
30/09/2017,RNA,6,Core Training,Surgical group,Trauma and orthopaedic surgery,6
30/09/2017,RNA,6,Core Training,Surgical group,Urology,1
30/09/2017,RNA,6,Core Training,Surgical group,Vascular Surgery,1
30/09/2017,RNA,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,2
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,Cardiology,1
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,Gastroenterology,1
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,6
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,2
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,Other,1
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,Rehabilitation medicine,1
30/09/2017,RNA,7,Foundation Doctor Year 2,General medicine group,Renal medicine,2
30/09/2017,RBZ,4,Staff Grade,Dental group,Oral and maxillo-facial surgery,0.6
30/09/2017,RBZ,4,Staff Grade,PHM & CHS group,Community Health Service Medical,0.1
30/09/2017,RBZ,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,3
30/09/2017,RBZ,5,Specialty Registrar,General medicine group,General (internal) medicine,11
30/09/2017,RBZ,5,Specialty Registrar,General medicine group,General Practice (GP) 6 month Training,15.6
30/09/2017,RBZ,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RBZ,5,Specialty Registrar,Paediatric group,Paediatrics,6.45
30/09/2017,RBZ,5,Specialty Registrar,Surgical group,General surgery,4
30/09/2017,RBZ,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RBZ,6,Core Training,Anaesthetics,Anaesthetics,12.6
30/09/2017,RBZ,6,Core Training,Emergency Medicine,Emergency Medicine,2
30/09/2017,RBZ,6,Core Training,General medicine group,General (internal) medicine,9
30/09/2017,RBZ,6,Core Training,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RBZ,6,Core Training,Paediatric group,Paediatrics,1
30/09/2017,RBZ,6,Core Training,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RBZ,6,Core Training,Surgical group,Urology,2
30/09/2017,RBZ,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,2
30/09/2017,RBZ,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,4
30/09/2017,RXR,6,Core Training,Anaesthetics,Intensive care medicine,1
30/09/2017,RXR,6,Core Training,Dental group,Oral and maxillo-facial surgery,6
